                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97299,                  2.677,                 1.3193,                0.00371,                  0.852,                0.25384,                0.13019,                0.83352,                 3.8342,                 1.2583,             0.00054592,             0.00054592,             0.00054592
                      2,                 1.0844,                 1.8997,                  1.375,                0.30135,                  0.142,                0.29787,                0.16024,                 1.1869,                 3.3093,                 1.7042,              0.0010798,              0.0010798,              0.0010798
                      3,                 1.1408,                 1.7584,                 1.4113,                0.49091,                  0.454,                0.42729,                 0.2411,                 1.3038,                 2.5289,                  1.717,              0.0015916,              0.0015916,              0.0015916
                      4,                 1.1453,                 1.6173,                 1.3767,                0.46367,                  0.402,                0.43362,                0.27104,                 1.3529,                 2.2395,                 1.6907,               0.001568,               0.001568,               0.001568
                      5,                 1.0976,                  1.471,                   1.38,                0.48629,                  0.516,                0.49197,                0.33889,                 1.1944,                 1.7761,                 1.6267,               0.001535,               0.001535,               0.001535
                      6,                  1.103,                 1.3217,                 1.3609,                0.96553,                  0.326,                0.44034,                0.30377,                 1.1083,                 1.6962,                 1.4518,               0.001502,               0.001502,               0.001502
                      7,                 1.0654,                 1.2572,                 1.3408,                0.65792,                  0.724,                0.72967,                0.52655,                0.97342,                 1.1912,                 1.4399,               0.001469,               0.001469,               0.001469
                      8,                 1.0337,                 1.2026,                 1.3192,                 0.6712,                0.83636,                0.77089,                0.56483,                0.93697,                 1.0292,                 1.3185,               0.001436,               0.001436,               0.001436
                      9,                 1.0279,                 1.1392,                 1.3152,                0.61623,                0.78791,                0.71863,                0.47504,                0.94765,                0.96452,                 1.3188,              0.0014029,              0.0014029,              0.0014029
                     10,                0.97777,                 1.0831,                 1.2919,                0.65608,                  0.746,                0.74722,                0.51929,                 1.0061,                 1.0236,                 1.4018,              0.0013699,              0.0013699,              0.0013699
                     11,                  0.982,                 1.0813,                 1.2881,                0.61041,                  0.736,                 0.6851,                0.46039,                0.95567,                 1.0927,                 1.3843,              0.0013369,              0.0013369,              0.0013369
                     12,                0.99207,                 1.0417,                 1.2978,                0.54513,                0.74355,                0.58501,                0.38557,                  1.061,                 1.0887,                  1.394,              0.0013039,              0.0013039,              0.0013039
                     13,                0.96233,                 1.0272,                 1.2699,                0.73972,                  0.774,                0.76039,                0.54882,                0.89229,                0.79673,                 1.3064,              0.0012709,              0.0012709,              0.0012709
                     14,                0.94138,                0.96186,                 1.2569,                0.53926,                0.65229,                0.65568,                0.48234,                0.83636,                0.86383,                 1.2582,              0.0012379,              0.0012379,              0.0012379
                     15,                0.90072,                0.93794,                 1.2411,                0.64184,                0.79305,                0.60013,                0.46066,                0.89363,                0.90268,                 1.2555,              0.0012049,              0.0012049,              0.0012049
                     16,                 0.9147,                0.93226,                 1.2405,                0.65434,                   0.89,                0.79468,                0.58903,                0.83476,                0.71724,                 1.2151,              0.0011719,              0.0011719,              0.0011719
                     17,                  0.885,                0.89488,                 1.2218,                0.71829,                0.80279,                0.71621,                0.53337,                0.86377,                0.76812,                 1.2433,              0.0011389,              0.0011389,              0.0011389
                     18,                0.88378,                0.88581,                   1.21,                0.73298,                  0.724,                0.78071,                0.55169,                 0.8344,                 0.7222,                 1.2339,              0.0011059,              0.0011059,              0.0011059
                     19,                0.87089,                0.84193,                 1.2121,                0.74008,                  0.834,                 0.8173,                 0.6357,                0.80016,                0.64045,                 1.2455,              0.0010729,              0.0010729,              0.0010729
                     20,                0.82436,                0.80927,                 1.1893,                0.81113,                   0.84,                0.82934,                0.62065,                0.77321,                0.67802,                 1.1973,              0.0010399,              0.0010399,              0.0010399
                     21,                0.85323,                0.85614,                 1.1986,                0.75981,                0.67295,                0.70113,                0.51067,                0.88989,                0.70408,                 1.2915,              0.0010069,              0.0010069,              0.0010069
                     22,                 0.8235,                0.82571,                 1.1711,                0.82768,                  0.792,                0.81385,                 0.6223,                 0.8366,                0.62263,                 1.2461,             0.00097386,             0.00097386,             0.00097386
                     23,                 0.8024,                0.77824,                 1.1702,                0.74521,                0.75011,                0.82048,                0.59498,                0.81893,                0.60258,                 1.2449,             0.00094085,             0.00094085,             0.00094085
                     24,                 0.8299,                0.81536,                 1.1932,                0.79524,                0.82339,                 0.8168,                0.57064,                0.83412,                0.59829,                 1.2087,             0.00090785,             0.00090785,             0.00090785
                     25,                0.77978,                0.77292,                  1.151,                0.66588,                0.84312,                  0.751,                0.55648,                0.87341,                0.65255,                 1.2492,             0.00087484,             0.00087484,             0.00087484
                     26,                 0.8163,                0.76557,                 1.1792,                0.82334,                 0.7563,                0.84541,                0.66401,                0.75314,                0.59218,                 1.1703,             0.00084184,             0.00084184,             0.00084184
                     27,                0.79523,                0.76385,                 1.1817,                0.84616,                   0.77,                0.83841,                0.66321,                0.76049,                0.58398,                  1.173,             0.00080883,             0.00080883,             0.00080883
                     28,                0.78422,                0.75592,                 1.1678,                0.82287,                0.79858,                0.82888,                0.62599,                0.78978,                0.56681,                 1.1803,             0.00077582,             0.00077582,             0.00077582
                     29,                0.75032,                0.74161,                 1.1318,                 0.8187,                0.86169,                0.83912,                0.65351,                0.76081,                0.55482,                 1.1604,             0.00074282,             0.00074282,             0.00074282
                     30,                0.76767,                0.73161,                 1.1436,                 0.8036,                0.87351,                0.84184,                0.65775,                0.74017,                0.55003,                 1.1414,             0.00070981,             0.00070981,             0.00070981
                     31,                0.73092,                0.69073,                 1.1317,                0.78459,                0.84241,                0.82121,                0.66151,                0.70608,                 0.5555,                 1.1323,              0.0006768,              0.0006768,              0.0006768
                     32,                 0.7356,                0.71565,                 1.1403,                0.82876,                0.83455,                0.84543,                0.66898,                0.74113,                0.55114,                 1.1469,              0.0006438,              0.0006438,              0.0006438
                     33,                0.71802,                0.68137,                 1.1231,                 0.7905,                0.81754,                0.85705,                0.69218,                0.68683,                0.50939,                 1.1086,             0.00061079,             0.00061079,             0.00061079
                     34,                0.70982,                0.66382,                 1.1205,                0.73783,                  0.826,                 0.8215,                0.65463,                 0.6902,                0.51678,                 1.1154,             0.00057778,             0.00057778,             0.00057778
                     35,                0.70948,                0.66211,                 1.1128,                0.85028,                0.83758,                 0.8657,                0.68675,                0.70606,                 0.5222,                 1.1301,             0.00054478,             0.00054478,             0.00054478
                     36,                0.68528,                0.63785,                 1.0969,                0.76743,                  0.786,                0.81379,                0.67284,                 0.6581,                0.53261,                 1.0873,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.6704,                0.63644,                 1.0891,                0.80666,                  0.838,                0.82934,                0.67681,                0.65373,                0.48316,                   1.08,             0.00047876,             0.00047876,             0.00047876
                     38,                0.68166,                0.63992,                 1.1021,                0.85196,                0.78324,                0.84239,                0.69573,                0.64114,                 0.4932,                 1.0542,             0.00044576,             0.00044576,             0.00044576
                     39,                0.64558,                0.59669,                  1.076,                0.76822,                0.88986,                0.83544,                0.67213,                0.68287,                0.47804,                 1.1042,             0.00041275,             0.00041275,             0.00041275
                     40,                0.66087,                0.63354,                  1.099,                0.80534,                  0.831,                0.83647,                0.69063,                 0.6414,                0.53111,                 1.0619,             0.00037974,             0.00037974,             0.00037974
                     41,                0.58561,                0.51537,                 1.0577,                 0.7724,                0.86942,                0.84079,                0.68428,                0.65819,                0.47506,                 1.0747,             0.00034674,             0.00034674,             0.00034674
                     42,                0.55973,                0.48882,                 1.0252,                 0.8382,                0.87677,                0.86363,                0.70796,                  0.659,                0.46271,                 1.0849,             0.00031373,             0.00031373,             0.00031373
                     43,                0.54964,                0.46683,                 1.0134,                0.79792,                0.79247,                0.80257,                0.65868,                0.65171,                0.46691,                 1.0759,             0.00028072,             0.00028072,             0.00028072
                     44,                0.54206,                0.46114,                 1.0176,                0.80087,                0.83458,                0.83655,                0.69543,                0.63816,                0.46199,                 1.0693,             0.00024772,             0.00024772,             0.00024772
                     45,                0.52208,                0.44241,                 1.0148,                0.81552,                0.85373,                0.86144,                 0.7141,                0.63088,                0.44049,                 1.0819,             0.00021471,             0.00021471,             0.00021471
                     46,                0.51226,                0.43858,                0.99429,                0.80303,                0.85708,                0.84836,                0.70125,                0.64192,                0.46193,                 1.0866,              0.0001817,              0.0001817,              0.0001817
                     47,                0.51206,                0.44304,                 1.0037,                0.82599,                0.80235,                0.84454,                0.68828,                0.62123,                  0.447,                 1.0753,              0.0001487,              0.0001487,              0.0001487
                     48,                0.49579,                0.41564,                0.98857,                0.80669,                0.83002,                0.85355,                0.70412,                0.63269,                0.43168,                 1.0902,             0.00011569,             0.00011569,             0.00011569
                     49,                0.48083,                0.40362,                0.97884,                0.78804,                0.88124,                0.85917,                0.70029,                0.61804,                0.43347,                 1.0714,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.48063,                0.40733,                0.97936,                0.82676,                0.83017,                0.84759,                0.69969,                 0.6239,                0.44533,                 1.0742,             4.9677e-05,             4.9677e-05,             4.9677e-05
